No,Symboling,Normalized-losses,Make,type,Aspiration,Num-of-doors,Body-style,Drive-wheels,Engine-location,Wheel-base,Curb-weight,Engine-type,Num_cylinders,Fuel-system,Compression-ratio,Horsepower,peak-rpm,city-mpg,highway-mpg,Load-date
1,3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,2548,dohc,four,mpfi,9.0,111,5000,21,27,2/01/2001
2,3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,2548,dohc,four,mpfi,9.0,111,5000,21,27,2/01/2001
3,1,?,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,2823,ohcv,six,mpfi,9.0,154,5000,19,26,2/01/2001
4,2,164,audi,gas,std,four,sedan,fwd,front,99.8,2337,ohc,four,mpfi,10.0,102,5500,24,30,2/01/2001
5,2,164,audi,gas,std,four,sedan,4wd,front,99.4,2824,ohc,five,mpfi,8.0,115,5500,18,22,2/01/2001
6,2,?,audi,gas,std,two,sedan,fwd,front,99.8,2507,ohc,five,mpfi,8.5,110,5500,19,25,2/01/2001
7,1,158,audi,gas,std,four,sedan,fwd,front,105.8,2844,ohc,five,mpfi,8.5,110,5500,19,25,2/01/2001
9,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,3086,ohc,five,mpfi,8.3,140,5500,17,20,2/01/2001
11,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,2395,ohc,four,mpfi,8.8,101,5800,23,29,2/01/2001
12,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,2395,ohc,four,mpfi,8.8,101,5800,23,29,2/01/2001
13,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,2710,ohc,six,mpfi,9.0,121,4250,21,28,2/01/2001
14,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,2765,ohc,six,mpfi,9.0,121,4250,21,28,2/01/2001
15,1,?,bmw,gas,std,four,sedan,rwd,front,103.5,3055,ohc,six,mpfi,9.0,121,4250,20,25,2/01/2001
16,0,?,bmw,gas,std,four,sedan,rwd,front,103.5,3230,ohc,six,mpfi,8.0,182,5400,16,22,2/01/2001
19,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,1488,l,three,2bbl,9.5,48,5100,47,53,2/01/2001
20,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,1874,ohc,four,2bbl,9.6,70,5400,38,43,2/01/2001
21,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,1909,ohc,four,2bbl,9.6,70,5400,38,43,2/01/2001
22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,1876,ohc,four,2bbl,9.41,68,5500,37,41,2/01/2001
24,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,2128,ohc,four,mpfi,7.6,102,5500,24,30,2/01/2001
